time,header_stamp_secs,header_stamp_nsecs,header_frame_id,magnetic_field_x,magnetic_field_y,magnetic_field_z,magnetic_field_covariance_0,magnetic_field_covariance_1,magnetic_field_covariance_2,magnetic_field_covariance_3,magnetic_field_covariance_4,magnetic_field_covariance_5,magnetic_field_covariance_6,magnetic_field_covariance_7,magnetic_field_covariance_8
2026/06/04 15:15:44.103896860,1780596944,78994747,imu_link,0.24306368827819824,0.21921062469482422,0.3127727508544922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.104039267,1780596944,89588905,imu_link,0.24416470527648926,0.23691296577453613,0.3137032985687256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.104174847,1780596944,99208359,imu_link,0.25963926315307617,0.2292766571044922,0.3190896511077881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.108476320,1780596944,107782981,imu_link,0.26939868927001953,0.2205791473388672,0.32641053199768066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.120488965,1780596944,119584295,imu_link,0.24920415878295898,0.22322607040405273,0.31180286407470703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.130663061,1780596944,130230011,imu_link,0.24814319610595703,0.2291090488433838,0.31421446800231934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.140207818,1780596944,139816998,imu_link,0.2581789493560791,0.23023629188537598,0.3171427249908447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.152075313,1780596944,151624398,imu_link,0.25594663619995117,0.22333717346191406,0.3258943557739258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.162392706,1780596944,162265356,imu_link,0.262035608291626,0.22980666160583496,0.32346224784851074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.173268323,1780596944,173076812,imu_link,0.2550523281097412,0.21691679954528809,0.30745840072631836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.184248105,1780596944,183833086,imu_link,0.24068617820739746,0.2186875343322754,0.3142259120941162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.186239305,1780596944,184002397,imu_link,0.24511194229125977,0.23741745948791504,0.3137037754058838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.196196080,1780596944,194580981,imu_link,0.2620401382446289,0.22832441329956055,0.31618309020996094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.207242016,1780596944,205429904,imu_link,0.26883745193481445,0.22449874877929688,0.3239727020263672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.219295979,1780596944,217364291,imu_link,0.2511007785797119,0.22423577308654785,0.3122892379760742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.228913408,1780596944,228053563,imu_link,0.24525856971740723,0.22955822944641113,0.31275177001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.239623770,1780596944,238780286,imu_link,0.25766491889953613,0.2321944236755371,0.31762266159057617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
