time,header_stamp_secs,header_stamp_nsecs,header_frame_id,vector_x,vector_y,vector_z
2026/06/04 15:15:44.103885215,1780596944,79008253,imu_link,-1.2615716457366943,0.08419743925333024,9.763799667358398
2026/06/04 15:15:44.104026728,1780596944,79026126,imu_link,-1.2493664026260378,0.20137155055999756,9.710482597351076
2026/06/04 15:15:44.104161735,1780596944,89555030,imu_link,-1.3171007633209229,0.30916792154312134,9.635125160217287
2026/06/04 15:15:44.104265671,1780596944,89588905,imu_link,-1.3498233556747439,0.40759164094924927,9.591050148010256
2026/06/04 15:15:44.104347230,1780596944,89606660,imu_link,-1.2778501510620117,0.46696627140045166,9.535758018493654
2026/06/04 15:15:44.104429760,1780596944,89623387,imu_link,-1.2188069820404053,0.4900907278060913,9.548957824707031
2026/06/04 15:15:44.104510829,1780596944,99185135,imu_link,-1.228992819786072,0.4043015539646149,9.632558822631836
2026/06/04 15:15:44.104595692,1780596944,99208359,imu_link,-1.2784816026687624,0.3271373808383942,9.720095634460451
2026/06/04 15:15:44.104675197,1780596944,99220771,imu_link,-1.2083355188369753,0.20339837670326233,9.785873413085938
2026/06/04 15:15:44.104754721,1780596944,99242889,imu_link,-1.3555512428283691,-0.023433290421962738,9.808779716491701
2026/06/04 15:15:44.108107814,1780596944,107771395,imu_link,-1.5208618640899658,-0.12063346803188324,9.794034004211428
2026/06/04 15:15:44.108412409,1780596944,107782981,imu_link,-1.6472183465957644,-0.13876718282699585,9.811347961425781
2026/06/04 15:15:44.108733213,1780596944,107792893,imu_link,-1.5346286296844482,-0.05590606480836868,9.862136840820312
2026/06/04 15:15:44.119718389,1780596944,119522128,imu_link,-1.3961879014968874,0.022320877760648727,9.866508483886719
2026/06/04 15:15:44.120100090,1780596944,119561308,imu_link,-1.1670894622802734,0.12754690647125244,9.787216186523438
2026/06/04 15:15:44.120418214,1780596944,119584295,imu_link,-1.1403852701187136,0.19182996451854709,9.7050256729126
2026/06/04 15:15:44.120883306,1780596944,119604436,imu_link,-1.1571274995803835,0.22251513600349426,9.577581405639648
2026/06/04 15:15:44.121272470,1780596944,119624075,imu_link,-0.9809345006942749,0.2565200030803681,9.420904159545898
2026/06/04 15:15:44.130332153,1780596944,130195737,imu_link,-0.8439423441886903,0.31251347064971924,9.326431274414062
2026/06/04 15:15:44.130637731,1780596944,130230011,imu_link,-0.8495408892631532,0.3369258344173432,9.317634582519531
2026/06/04 15:15:44.130900431,1780596944,130247429,imu_link,-0.8171960711479188,0.36320903897285467,9.37176513671875
2026/06/04 15:15:44.131090687,1780596944,130262503,imu_link,-0.6289674639701844,0.4248113334178925,9.47902011871338
2026/06/04 15:15:44.139930595,1780596944,139791347,imu_link,-0.6583112478256226,0.29669186472892767,9.62947750091553
2026/06/04 15:15:44.140165376,1780596944,139816998,imu_link,-0.9252136349678041,0.17286932468414307,9.700709342956545
2026/06/04 15:15:44.140429002,1780596944,139835135,imu_link,-1.1796971559524538,0.052412059158086784,9.745712280273438
2026/06/04 15:15:44.140616914,1780596944,139850373,imu_link,-1.3421555757522585,-0.01676156930625439,9.873664855957031
2026/06/04 15:15:44.151800946,1780596944,151600068,imu_link,-1.4504115581512451,-0.09922468662261963,9.898653984069826
2026/06/04 15:15:44.152068968,1780596944,151624398,imu_link,-1.5175817012786865,-0.12492618709802629,9.86935806274414
2026/06/04 15:15:44.152306524,1780596944,151636283,imu_link,-1.455710053443909,-0.005838347598910332,9.862974166870117
2026/06/04 15:15:44.152506820,1780596944,151647762,imu_link,-1.496107816696167,0.04772124812006951,9.83475112915039
2026/06/04 15:15:44.152754147,1780596944,151664296,imu_link,-1.456730842590332,0.1548386812210083,9.731253623962404
2026/06/04 15:15:44.162386592,1780596944,162265356,imu_link,-1.3251336812973025,0.27373963594436646,9.681372642517092
2026/06/04 15:15:44.162656970,1780596944,162288017,imu_link,-1.2214137315750124,0.40675586462020874,9.609045982360842
2026/06/04 15:15:44.162865997,1780596944,162301250,imu_link,-1.3289189338684082,0.4992157220840454,9.568822860717773
2026/06/04 15:15:44.163096925,1780596944,162315703,imu_link,-1.2672964334487917,0.5494793653488159,9.563486099243164
2026/06/04 15:15:44.173216526,1780596944,173076812,imu_link,-1.0977212190628054,0.5418015718460083,9.636229515075685
2026/06/04 15:15:44.173527497,1780596944,173109313,imu_link,-1.1337863206863406,0.39184084534645086,9.69569492340088
