time,data
2026/06/04 15:16:52.95722222,0.0
2026/06/04 15:16:52.95851243,0.0
2026/06/04 15:16:52.110544155,0.0
2026/06/04 15:16:52.130643134,0.0
2026/06/04 15:16:52.150750970,0.0
2026/06/04 15:16:52.170703188,0.0
2026/06/04 15:16:52.190802045,0.0
2026/06/04 15:16:52.210927253,0.0
2026/06/04 15:16:52.231288531,0.0
2026/06/04 15:16:52.250789464,0.0
2026/06/04 15:16:52.270540305,0.0
2026/06/04 15:16:52.290862781,0.0
2026/06/04 15:16:52.311506325,0.0
2026/06/04 15:16:52.330925002,0.0
2026/06/04 15:16:52.350682553,0.0
2026/06/04 15:16:52.370884878,0.0
2026/06/04 15:16:52.390886734,0.0
2026/06/04 15:16:52.410578724,0.0
2026/06/04 15:16:52.430594572,0.0
2026/06/04 15:16:52.450616328,0.0
2026/06/04 15:16:52.471173943,0.0
2026/06/04 15:16:52.490977795,0.0
2026/06/04 15:16:52.510799443,0.0
2026/06/04 15:16:52.531005740,0.0
2026/06/04 15:16:52.550774324,0.0
2026/06/04 15:16:52.570641594,0.0
2026/06/04 15:16:52.590676083,0.0
2026/06/04 15:16:52.612268579,0.0
2026/06/04 15:16:52.630781792,0.0
2026/06/04 15:16:52.650865559,0.0
2026/06/04 15:16:52.671289281,0.0
2026/06/04 15:16:52.690728400,0.0
2026/06/04 15:16:52.710691812,0.0
2026/06/04 15:16:52.730560818,0.0
2026/06/04 15:16:52.750785504,0.0
2026/06/04 15:16:52.771143697,0.0
2026/06/04 15:16:52.791487193,0.0
2026/06/04 15:16:52.810806598,0.0
2026/06/04 15:16:52.830647090,0.0
2026/06/04 15:16:52.850614994,0.0
2026/06/04 15:16:52.870755723,0.0
2026/06/04 15:16:52.891219404,0.0
2026/06/04 15:16:52.911212214,0.0
2026/06/04 15:16:52.930803915,0.0
2026/06/04 15:16:52.950852458,0.0
2026/06/04 15:16:52.970692864,0.0
2026/06/04 15:16:52.990597984,0.0
2026/06/04 15:16:53.10664489,0.0
2026/06/04 15:16:53.30706523,0.0
2026/06/04 15:16:53.50892621,0.0
2026/06/04 15:16:53.70705214,0.0
2026/06/04 15:16:53.90964647,0.0
2026/06/04 15:16:53.110829252,0.0
2026/06/04 15:16:53.130518001,0.0
2026/06/04 15:16:53.150550114,0.0
2026/06/04 15:16:53.170527591,0.0
2026/06/04 15:16:53.191088266,0.0
2026/06/04 15:16:53.210806255,0.0
2026/06/04 15:16:53.230761367,0.0
2026/06/04 15:16:53.250857955,0.0
2026/06/04 15:16:53.270630584,0.0
2026/06/04 15:16:53.290661816,0.0
2026/06/04 15:16:53.310773676,0.0
2026/06/04 15:16:53.330799002,0.0
2026/06/04 15:16:53.350949921,0.0
2026/06/04 15:16:53.370773330,0.0
2026/06/04 15:16:53.390978854,0.0
2026/06/04 15:16:53.410701504,0.0
2026/06/04 15:16:53.430626719,0.0
2026/06/04 15:16:53.450872481,0.0
2026/06/04 15:16:53.470705306,0.0
2026/06/04 15:16:53.491087312,0.0
2026/06/04 15:16:53.510859280,0.0
2026/06/04 15:16:53.530694513,0.0
2026/06/04 15:16:53.551195573,0.0
2026/06/04 15:16:53.570691540,0.0
2026/06/04 15:16:53.590687662,0.0
2026/06/04 15:16:53.610532695,0.0
2026/06/04 15:16:53.630911003,0.0
2026/06/04 15:16:53.651252509,0.0
2026/06/04 15:16:53.671038315,0.0
2026/06/04 15:16:53.690829941,0.0
2026/06/04 15:16:53.710685414,0.0
2026/06/04 15:16:53.730655616,0.0
2026/06/04 15:16:53.750794620,0.0
2026/06/04 15:16:53.770903752,0.0
2026/06/04 15:16:53.791033770,0.0
2026/06/04 15:16:53.811412608,0.0
2026/06/04 15:16:53.830872388,0.0
2026/06/04 15:16:53.850875828,0.0
2026/06/04 15:16:53.870669884,0.0
2026/06/04 15:16:53.890921179,0.0
2026/06/04 15:16:53.911116897,0.0
2026/06/04 15:16:53.931210879,0.0
2026/06/04 15:16:53.951173554,0.0
2026/06/04 15:16:53.971403199,0.0
2026/06/04 15:16:53.991103648,0.0
2026/06/04 15:16:54.10868348,0.0
2026/06/04 15:16:54.30775363,0.0
2026/06/04 15:16:54.50616225,0.0
2026/06/04 15:16:54.71584456,0.0
2026/06/04 15:16:54.91248671,0.0
2026/06/04 15:16:54.111193561,0.0
2026/06/04 15:16:54.130766625,0.0
2026/06/04 15:16:54.150699439,0.0
2026/06/04 15:16:54.170733114,0.0
2026/06/04 15:16:54.190800450,0.0
2026/06/04 15:16:54.211078315,0.0
2026/06/04 15:16:54.231248379,0.0
2026/06/04 15:16:54.250875104,0.0
2026/06/04 15:16:54.270796100,0.0
2026/06/04 15:16:54.290528386,0.0
2026/06/04 15:16:54.310858242,0.0
2026/06/04 15:16:54.330629045,0.0
2026/06/04 15:16:54.350856219,0.0
2026/06/04 15:16:54.371120936,0.0
2026/06/04 15:16:54.391035584,0.0
2026/06/04 15:16:54.411430833,0.0
2026/06/04 15:16:54.431014035,0.0
2026/06/04 15:16:54.450502989,0.0
2026/06/04 15:16:54.470913511,0.0
2026/06/04 15:16:54.490737052,0.0
2026/06/04 15:16:54.511281872,0.0
2026/06/04 15:16:54.531424827,0.0
2026/06/04 15:16:54.551287668,0.0
2026/06/04 15:16:54.571404988,0.0
2026/06/04 15:16:54.590867080,0.0
2026/06/04 15:16:54.610681409,0.0
2026/06/04 15:16:54.630753641,0.0
2026/06/04 15:16:54.650883932,0.0
2026/06/04 15:16:54.671007806,0.0
2026/06/04 15:16:54.690978053,0.0
2026/06/04 15:16:54.711032211,0.0
2026/06/04 15:16:54.731202892,0.0
2026/06/04 15:16:54.750960201,0.0
2026/06/04 15:16:54.770815994,0.0
2026/06/04 15:16:54.791218435,0.0
2026/06/04 15:16:54.811254313,0.0
2026/06/04 15:16:54.831401470,0.0
2026/06/04 15:16:54.850730558,0.0
2026/06/04 15:16:54.870790773,0.0
2026/06/04 15:16:54.890622841,0.0
2026/06/04 15:16:54.910902483,0.0
2026/06/04 15:16:54.930753346,0.0
2026/06/04 15:16:54.951272846,0.0
2026/06/04 15:16:54.970898671,0.0
2026/06/04 15:16:54.991461898,0.0
2026/06/04 15:16:55.10991505,0.0
2026/06/04 15:16:55.30591734,0.0
2026/06/04 15:16:55.50815876,0.0
2026/06/04 15:16:55.70729041,0.0
2026/06/04 15:16:55.91439907,0.0
2026/06/04 15:16:55.110726778,0.0
2026/06/04 15:16:55.130843789,0.0
2026/06/04 15:16:55.151485666,0.0
2026/06/04 15:16:55.170806988,0.0
2026/06/04 15:16:55.190675757,0.0
2026/06/04 15:16:55.210787125,0.0
2026/06/04 15:16:55.231531512,0.0
2026/06/04 15:16:55.251230619,0.0
2026/06/04 15:16:55.270797746,0.0
2026/06/04 15:16:55.291144705,0.0
2026/06/04 15:16:55.311131727,0.0
2026/06/04 15:16:55.330575567,0.0
2026/06/04 15:16:55.350675852,0.0
2026/06/04 15:16:55.370997443,0.0
2026/06/04 15:16:55.391295197,0.0
2026/06/04 15:16:55.410985968,0.0
2026/06/04 15:16:55.430900101,0.0
2026/06/04 15:16:55.450753809,0.0
2026/06/04 15:16:55.470565324,0.0
2026/06/04 15:16:55.490556017,0.0
2026/06/04 15:16:55.510658531,0.0
2026/06/04 15:16:55.531167272,0.0
2026/06/04 15:16:55.551078462,0.0
