time,stamp_secs,stamp_nsecs,mode
2026/06/04 15:16:52.95673358,0,0,4
2026/06/04 15:16:52.95812383,0,0,4
2026/06/04 15:16:52.100539153,0,0,4
2026/06/04 15:16:52.120590397,0,0,4
2026/06/04 15:16:52.140544119,0,0,4
2026/06/04 15:16:52.160734968,0,0,4
2026/06/04 15:16:52.180847562,0,0,4
2026/06/04 15:16:52.200891828,0,0,4
2026/06/04 15:16:52.220968629,0,0,4
2026/06/04 15:16:52.240767516,0,0,4
2026/06/04 15:16:52.260592081,0,0,4
2026/06/04 15:16:52.280699827,0,0,4
2026/06/04 15:16:52.300812786,0,0,4
2026/06/04 15:16:52.321116291,0,0,4
2026/06/04 15:16:52.340560996,0,0,4
2026/06/04 15:16:52.360949058,0,0,4
2026/06/04 15:16:52.380905754,0,0,4
2026/06/04 15:16:52.400637808,0,0,4
2026/06/04 15:16:52.420629924,0,0,4
2026/06/04 15:16:52.440718378,0,0,4
2026/06/04 15:16:52.460816718,0,0,4
2026/06/04 15:16:52.480905695,0,0,4
2026/06/04 15:16:52.500833452,0,0,4
2026/06/04 15:16:52.521268910,0,0,4
2026/06/04 15:16:52.540608266,0,0,4
2026/06/04 15:16:52.560457546,0,0,4
2026/06/04 15:16:52.580679878,0,0,4
2026/06/04 15:16:52.601219300,0,0,4
2026/06/04 15:16:52.621067555,0,0,4
2026/06/04 15:16:52.641097370,0,0,4
2026/06/04 15:16:52.661189432,0,0,4
2026/06/04 15:16:52.680661940,0,0,4
2026/06/04 15:16:52.700616465,0,0,4
2026/06/04 15:16:52.720737238,0,0,4
2026/06/04 15:16:52.740759170,0,0,4
2026/06/04 15:16:52.760795414,0,0,4
2026/06/04 15:16:52.780853257,0,0,4
2026/06/04 15:16:52.800736316,0,0,4
2026/06/04 15:16:52.820683388,0,0,4
2026/06/04 15:16:52.840618936,0,0,4
2026/06/04 15:16:52.860600198,0,0,4
2026/06/04 15:16:52.880744943,0,0,4
2026/06/04 15:16:52.901018436,0,0,4
2026/06/04 15:16:52.921026947,0,0,4
2026/06/04 15:16:52.941311702,0,0,4
2026/06/04 15:16:52.960712312,0,0,4
2026/06/04 15:16:52.980727935,0,0,4
2026/06/04 15:16:53.512973,0,0,4
2026/06/04 15:16:53.20713972,0,0,4
2026/06/04 15:16:53.40638008,0,0,4
2026/06/04 15:16:53.60621697,0,0,4
2026/06/04 15:16:53.80879109,0,0,4
2026/06/04 15:16:53.101274568,0,0,4
2026/06/04 15:16:53.120600000,0,0,4
2026/06/04 15:16:53.140528234,0,0,4
2026/06/04 15:16:53.160771770,0,0,4
2026/06/04 15:16:53.180590878,0,0,4
2026/06/04 15:16:53.200872214,0,0,4
2026/06/04 15:16:53.220989574,0,0,4
2026/06/04 15:16:53.241371761,0,0,4
2026/06/04 15:16:53.260926069,0,0,4
2026/06/04 15:16:53.280571947,0,0,4
2026/06/04 15:16:53.300513144,0,0,4
2026/06/04 15:16:53.320792035,0,0,4
2026/06/04 15:16:53.340648851,0,0,4
2026/06/04 15:16:53.360926589,0,0,4
2026/06/04 15:16:53.380798321,0,0,4
2026/06/04 15:16:53.401089862,0,0,4
2026/06/04 15:16:53.420661729,0,0,4
2026/06/04 15:16:53.440610912,0,0,4
2026/06/04 15:16:53.460570927,0,0,4
2026/06/04 15:16:53.480900976,0,0,4
2026/06/04 15:16:53.500768260,0,0,4
2026/06/04 15:16:53.520986035,0,0,4
2026/06/04 15:16:53.541092328,0,0,4
2026/06/04 15:16:53.560628251,0,0,4
2026/06/04 15:16:53.580590003,0,0,4
2026/06/04 15:16:53.600677767,0,0,4
2026/06/04 15:16:53.620530384,0,0,4
2026/06/04 15:16:53.640885585,0,0,4
2026/06/04 15:16:53.660754581,0,0,4
2026/06/04 15:16:53.680956808,0,0,4
2026/06/04 15:16:53.700760469,0,0,4
2026/06/04 15:16:53.720626306,0,0,4
2026/06/04 15:16:53.740761601,0,0,4
2026/06/04 15:16:53.760756169,0,0,4
2026/06/04 15:16:53.780992316,0,0,4
2026/06/04 15:16:53.800870806,0,0,4
2026/06/04 15:16:53.821187374,0,0,4
2026/06/04 15:16:53.840887614,0,0,4
2026/06/04 15:16:53.860471514,0,0,4
2026/06/04 15:16:53.880833919,0,0,4
2026/06/04 15:16:53.900792548,0,0,4
2026/06/04 15:16:53.920866612,0,0,4
2026/06/04 15:16:53.940882606,0,0,4
2026/06/04 15:16:53.961082614,0,0,4
2026/06/04 15:16:53.981139430,0,0,4
2026/06/04 15:16:54.927623,0,0,4
2026/06/04 15:16:54.20662968,0,0,4
2026/06/04 15:16:54.40658467,0,0,4
2026/06/04 15:16:54.60922514,0,0,4
2026/06/04 15:16:54.81342010,0,0,4
2026/06/04 15:16:54.101234759,0,0,4
2026/06/04 15:16:54.121198127,0,0,4
2026/06/04 15:16:54.140668828,0,0,4
2026/06/04 15:16:54.160651127,0,0,4
2026/06/04 15:16:54.180686013,0,0,4
2026/06/04 15:16:54.200809298,0,0,4
2026/06/04 15:16:54.220866199,0,0,4
2026/06/04 15:16:54.240831518,0,0,4
2026/06/04 15:16:54.261040152,0,0,4
2026/06/04 15:16:54.281076672,0,0,4
2026/06/04 15:16:54.300770771,0,0,4
2026/06/04 15:16:54.320904766,0,0,4
2026/06/04 15:16:54.340895009,0,0,4
2026/06/04 15:16:54.360740930,0,0,4
2026/06/04 15:16:54.380834989,0,0,4
2026/06/04 15:16:54.401233152,0,0,4
2026/06/04 15:16:54.421202676,0,0,4
2026/06/04 15:16:54.440791726,0,0,4
2026/06/04 15:16:54.460652290,0,0,4
2026/06/04 15:16:54.480575787,0,0,4
2026/06/04 15:16:54.501098739,0,0,4
2026/06/04 15:16:54.521033306,0,0,4
2026/06/04 15:16:54.541122804,0,0,4
2026/06/04 15:16:54.561480005,0,0,4
2026/06/04 15:16:54.580999424,0,0,4
2026/06/04 15:16:54.600619604,0,0,4
2026/06/04 15:16:54.620814436,0,0,4
2026/06/04 15:16:54.640545162,0,0,4
2026/06/04 15:16:54.660901078,0,0,4
2026/06/04 15:16:54.681006024,0,0,4
