time,layout_data_offset,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17,data_18,data_19,data_20,data_21,data_22,data_23,data_24,data_25,data_26,data_27,data_28,data_29,data_30
2026/06/04 15:15:44.103792116,0,1780596944.039992,429.54900000000004,-0.25397813108864986,0.0,-0.013166639295370274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.01228218562338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.9319888641602,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.103941743,0,1780596944.0599983,429.569,-0.25397813108864986,0.0,-0.013166639295370274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.03275276659422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.9319888641602,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.104091472,0,1780596944.0800004,429.589,-0.25397813108864986,0.0,-0.013166639295370274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.97506294749458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.9319888641602,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.104217237,0,1780596944.1000366,429.60900000000004,-0.25397813108864986,0.0,-0.013166639295370274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.885736775985464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.9319888641602,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.120565477,0,1780596944.1200204,429.629,-0.25397813108864986,0.0,-0.013166639295370274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.93598274745934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.9319888641602,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.140365766,0,1780596944.140006,429.649,-0.25397813108864986,0.0,-0.013166639295370274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.90062447123698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.9319888641602,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.160738410,0,1780596944.1600661,429.669,-0.25397813108864986,0.0,-0.013166639295370274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.947148518897986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.9319888641602,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.180730539,0,1780596944.18007,429.689,-0.25397813108864986,0.0,-0.013166639295370274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.890389180751566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.9319888641602,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.200679753,0,1780596944.2000208,429.709,-0.25397813108864986,0.0,-0.013166639295370274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.961105733196288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.9319888641602,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.220657592,0,1780596944.2200384,429.729,-0.25397813108864986,0.0,-0.013166639295370274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.947148518897986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.9319888641602,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.240510837,0,1780596944.2400322,429.749,-0.25397813108864986,0.0,-0.013166639295370274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8969025474241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.9319888641602,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.260625812,0,1780596944.2600484,429.769,-0.25397813108864986,0.0,-0.013166639295370274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.028100361828123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.9319888641602,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.280357700,0,1780596944.279993,429.789,-0.25397813108864986,0.0,-0.013166639295370274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.02065651420236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.9319888641602,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.300478019,0,1780596944.2999916,429.809,-0.25397813108864986,0.0,-0.013166639295370274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.93598274745934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.9319888641602,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.320448354,0,1780596944.3200238,429.829,-0.25397813108864986,0.0,-0.013166639295370274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.90620735695631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.9319888641602,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.340351392,0,1780596944.339984,429.849,-0.25397813108864986,0.0,-0.013166639295370274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.005768818950845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.9319888641602,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.360847189,0,1780596944.3600764,429.869,-0.25397813108864986,0.0,-0.013166639295370274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.040196614219987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.9319888641602,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.380738123,0,1780596944.3800633,429.889,-0.25397813108864986,0.0,-0.013166639295370274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.959244771289846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.9319888641602,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.400543630,0,1780596944.4000382,429.909,-0.25397813108864986,0.0,-0.013166639295370274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.91830360934816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.9319888641602,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.420485575,0,1780596944.4200919,429.92900000000003,-0.25397813108864986,0.0,-0.013166639295370274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.885736775985464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.9319888641602,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.440407331,0,1780596944.4399967,429.949,-0.25397813108864986,0.0,-0.013166639295370274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.027169880874904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.9319888641602,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.460586801,0,1780596944.4600298,429.969,-0.25397813108864986,0.0,-0.013166639295370274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.927608418880364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.9319888641602,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.480579746,0,1780596944.480004,429.98900000000003,-0.25397813108864986,0.0,-0.013166639295370274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.873640523593608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.9319888641602,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:15:44.501222663,0,1780596944.5000825,430.009,-0.25397813108864986,0.0,-0.013166639295370274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.825255514026164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.9319888641602,0.0,0.0,0.0,0.0,0.0
