time,layout_data_offset,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17,data_18,data_19,data_20,data_21,data_22,data_23,data_24,data_25,data_26,data_27,data_28,data_29,data_30
2026/06/04 15:15:44.103807212,0,1780596944.0500302,429.56600000000003,16644.0,-0.25397813108864986,0.0,0.0,0.0,18.908068318862743,0.0,0.05493494776151764,-0.866976492575762,0.0,0.0,-0.9140625,-0.421875,95.04887585532747,429.56,0.0,0.0,0.0,0.0,327.42,327.42,15.96875,3.9898639947466563e-16,1.28,-0.25,49.6,0.0,3.0,0.0
2026/06/04 15:15:44.103947353,0,1780596944.0700364,429.586,16644.0,-0.25397813108864986,0.0,0.0,0.0,18.989020161792883,0.0,0.059649045176151785,-0.8993436207575768,0.0,0.0078125,-0.921875,-0.3671875,95.17595307917888,429.58,0.0,0.0,0.0,0.0,327.42,327.42,15.96875,3.9898639947466563e-16,1.28,-0.34,51.0,0.0,5.0,0.0
2026/06/04 15:15:44.104098210,0,1780596944.0900073,429.606,16644.0,-0.25397813108864986,0.0,0.0,0.0,18.8085068568682,0.0,0.032749743700542046,-0.46585529689393856,0.0,0.0078125,-0.8984375,-0.3828125,95.366568914956,429.6,0.0,0.0,0.0,0.0,327.42,327.42,15.96875,3.9898639947466563e-16,1.28,-0.28,52.400000000000006,0.0,7.0,0.0
2026/06/04 15:15:44.110522645,0,1780596944.110031,429.62600000000003,16644.0,-0.25397813108864986,0.0,0.0,0.0,18.93319130459968,0.0,0.052350464529810334,-0.7282602289393985,0.0,0.0,-0.921875,-0.40625,95.17595307917888,429.62,0.0,0.0,0.0,0.0,327.42,327.42,15.96875,3.9898639947466563e-16,1.28,-0.36,53.800000000000004,0.0,9.0,0.0
2026/06/04 15:15:44.130464138,0,1780596944.13002,429.646,16644.0,-0.25397813108864986,0.0,0.0,0.0,18.912720723628844,0.0,0.04525864254200545,-0.614975280303034,0.0,0.0234375,-0.8984375,-0.3828125,95.04887585532747,429.64,0.0,0.0,0.0,0.0,327.42,327.42,15.96875,3.9898639947466563e-16,1.28,-0.32,54.800000000000004,0.0,0.0,0.0
2026/06/04 15:15:44.150606632,0,1780596944.1500394,429.666,16644.0,-0.25397813108864986,0.0,0.0,0.0,18.820603109260063,0.0,0.037629248042005424,-0.5398373041666641,0.0,0.0078125,-0.921875,-0.390625,95.23949169110459,429.66,0.0,0.0,0.0,0.0,327.42,327.42,15.96875,3.9898639947466563e-16,1.28,-0.38,55.1,0.0,2.0,0.0
2026/06/04 15:15:44.170483463,0,1780596944.1699913,429.68600000000004,16644.0,-0.25397813108864986,0.0,0.0,0.0,18.774079061599064,0.0,0.032708391968834745,-0.3941852273484849,0.0,0.03125,-0.9140625,-0.40625,95.17595307917888,429.68,0.0,0.0,0.0,0.0,327.42,327.42,15.96875,3.9898639947466563e-16,1.28,-0.3,55.300000000000004,0.0,4.0,0.0
2026/06/04 15:15:44.190586232,0,1780596944.1900399,429.706,16644.0,-0.25397813108864986,0.0,0.0,0.0,18.801063009242444,0.0,0.03733978592005419,-0.3780016632575733,0.0,0.0078125,-0.921875,-0.375,95.43010752688171,429.7,0.0,0.0,0.0,0.0,327.42,327.42,15.96875,3.9898639947466563e-16,1.28,-0.25,55.7,0.0,6.0,0.0
2026/06/04 15:15:44.210815633,0,1780596944.210124,429.726,16644.0,-0.25397813108864986,0.0,0.0,0.0,18.770357137786185,0.0,0.043852683663956636,-0.42077251121211995,1.0,0.015625,-0.921875,-0.3984375,95.17595307917888,429.72,0.0,0.0,0.0,0.0,327.42,327.42,15.96875,3.9898639947466563e-16,1.28,-0.26,55.800000000000004,0.0,8.0,0.0
2026/06/04 15:15:44.230547475,0,1780596944.230064,429.746,16644.0,-0.25397813108864986,0.0,0.0,0.0,18.858752828342084,0.0,0.046106353042005443,-0.5363693975757563,1.0,0.0078125,-0.90625,-0.4140625,95.17595307917888,429.74,0.0,0.0,0.0,0.0,327.42,327.42,15.96875,3.9898639947466563e-16,1.28,-0.28,55.900000000000006,0.0,10.0,0.0
2026/06/04 15:15:44.250664214,0,1780596944.250085,429.766,16644.0,-0.25397813108864986,0.0,0.0,0.0,18.95180092366408,0.0,0.04364592500542007,-0.6970490696212112,0.0,0.015625,-0.9140625,-0.3359375,95.17595307917888,429.76,0.0,0.0,0.0,0.0,327.42,327.42,15.96875,3.9898639947466563e-16,1.28,-0.38,55.7,0.0,1.0,0.0
2026/06/04 15:15:44.270541558,0,1780596944.2700598,429.786,16644.0,-0.25397813108864986,0.0,0.0,0.0,18.92109505220782,0.0,0.03998629674932251,-0.5433052107575803,0.0,0.015625,-0.90625,-0.390625,95.04887585532747,429.78000000000003,0.0,0.0,0.0,0.0,327.42,327.42,15.96875,3.9898639947466563e-16,1.28,-0.38,55.7,0.0,3.0,0.0
2026/06/04 15:15:44.290470272,0,1780596944.2900212,429.806,16644.0,-0.25397813108864986,0.0,0.0,0.0,18.926677937927145,0.0,0.04110279350542009,-0.4993783939393977,0.0,0.0078125,-0.9296875,-0.421875,95.17595307917888,429.8,0.0,0.0,0.0,0.0,327.42,327.42,15.96875,3.9898639947466563e-16,1.28,-0.49,55.900000000000006,0.0,5.0,0.0
2026/06/04 15:15:44.310464444,0,1780596944.3099813,429.826,16644.0,-0.25397813108864986,0.0,0.0,0.0,18.84293465213734,0.0,0.03496206134688348,-0.4935985496212096,0.0,0.0234375,-0.90625,-0.3515625,95.04887585532747,429.82,0.0,0.0,0.0,0.0,327.42,327.42,15.96875,3.9898639947466563e-16,1.28,-0.5,55.800000000000004,0.0,7.0,0.0
2026/06/04 15:15:44.330641304,0,1780596944.3300252,429.846,16644.0,-0.25397813108864986,0.0,0.0,0.0,18.779661947318385,0.0,0.03487935788346888,-0.3571942237121179,0.0,0.0078125,-0.9296875,-0.3828125,95.11241446725317,429.84000000000003,0.0,0.0,0.0,0.0,327.42,327.42,15.96875,3.9898639947466563e-16,1.28,-0.52,55.7,0.0,9.0,0.0
2026/06/04 15:15:44.350588228,0,1780596944.3500693,429.866,16644.0,-0.25397813108864986,0.0,0.0,0.0,18.849448018809888,0.0,0.03680221340785909,-0.45776351484848693,0.0,0.015625,-0.921875,-0.4375,95.17595307917888,429.86,0.0,0.0,0.0,0.0,327.42,327.42,15.96875,3.9898639947466563e-16,1.28,-0.43,55.7,0.0,0.0,0.0
2026/06/04 15:15:44.371012736,0,1780596944.370161,429.886,16644.0,-0.25397813108864986,0.0,0.0,0.0,19.003907857044403,0.0,0.048029208566395705,-0.7560034816666695,0.0,0.0078125,-0.9140625,-0.3828125,95.17595307917888,429.88,0.0,0.0,0.0,0.0,327.42,327.42,15.96875,3.9898639947466563e-16,1.28,-0.43,55.7,0.0,2.0,0.0
2026/06/04 15:15:44.390871295,0,1780596944.3901067,429.906,16644.0,-0.25397813108864986,0.0,0.0,0.0,18.971341023681703,0.0,0.04178509707859079,-0.7386639487121219,0.0,0.015625,-0.921875,-0.390625,95.17595307917888,429.90000000000003,0.0,0.0,0.0,0.0,327.42,327.42,15.96875,3.9898639947466563e-16,1.28,-0.46,55.7,0.0,4.0,0.0
2026/06/04 15:15:44.410524246,0,1780596944.4100268,429.926,16644.0,-0.25397813108864986,0.0,0.0,0.0,18.9527314046173,0.0,0.045486077066395667,-0.5930118718939427,0.0,-0.0078125,-0.9140625,-0.421875,95.04887585532747,429.92,0.0,0.0,0.0,0.0,327.42,327.42,15.96875,3.9898639947466563e-16,1.28,-0.49,55.7,0.0,6.0,0.0
2026/06/04 15:15:44.430455937,0,1780596944.4300013,429.946,16644.0,-0.25397813108864986,0.0,0.0,0.0,18.85130898071633,0.0,0.0387043930663957,-0.391873289621213,1.0,0.0078125,-0.921875,-0.3671875,95.04887585532747,429.94,0.0,0.0,0.0,0.0,327.42,327.42,15.96875,3.9898639947466563e-16,1.28,-0.52,55.300000000000004,0.0,8.0,0.0
2026/06/04 15:15:44.450671886,0,1780596944.4500349,429.966,16644.0,-0.25397813108864986,0.0,0.0,0.0,18.91830360934816,0.0,0.03748451698102984,-0.5329014909848484,1.0,0.0078125,-0.90625,-0.40625,95.17595307917888,429.96000000000004,0.0,0.0,0.0,0.0,327.42,327.42,15.96875,3.9898639947466563e-16,1.28,-0.48,55.300000000000004,0.0,10.0,0.0
2026/06/04 15:15:44.470604408,0,1780596944.4700215,429.986,16644.0,-0.25397813108864986,0.0,0.0,0.0,18.834560323558364,0.0,0.042177938529810305,-0.4831948298484861,0.0,0.0,-0.921875,-0.375,95.04887585532747,429.98,0.0,0.0,0.0,0.0,327.42,327.42,15.96875,3.9898639947466563e-16,1.28,-0.45,55.300000000000004,0.0,1.0,0.0
2026/06/04 15:15:44.490940210,0,1780596944.4901333,430.00600000000003,16644.0,-0.25397813108864986,0.0,0.0,0.0,18.844795614043782,0.0,0.040482517529810316,-0.42886429325757996,0.0,0.015625,-0.8984375,-0.359375,95.04887585532747,430.0,0.0,0.0,0.0,0.0,327.42,327.42,15.96875,3.9898639947466563e-16,1.28,-0.28,54.900000000000006,0.0,3.0,0.0
2026/06/04 15:15:44.510935745,0,1780596944.5101008,430.026,16644.0,-0.25397813108864986,0.0,0.0,0.0,18.869918599780725,0.0,0.04540337360298104,-0.6230670623484856,0.0,0.0,-0.921875,-0.40625,95.17595307917888,430.02,0.0,0.0,0.0,0.0,327.42,327.42,15.96875,3.9898639947466563e-16,1.28,-0.23,54.0,0.0,5.0,0.0
