time,header_stamp_secs,header_stamp_nsecs,header_frame_id,status_status,status_service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
2026/06/04 15:16:52.121733255,1780597012,121501873,obu,0,1,-22.81406,-47.06099,626.943,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:52.234968902,1780597012,234365538,obu,0,1,-22.81406,-47.06099,626.943,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:52.339647772,1780597012,339317050,obu,0,1,-22.81406,-47.06099,626.943,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:52.431726779,1780597012,431448215,obu,0,1,-22.81406,-47.06099,626.943,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:52.531766572,1780597012,531351073,obu,0,1,-22.81406,-47.06099,626.943,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:52.624610615,1780597012,624147652,obu,0,1,-22.81406,-47.06099,626.943,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:52.732908742,1780597012,732730378,obu,0,1,-22.81406,-47.06099,626.943,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:52.831314581,1780597012,830994512,obu,0,1,-22.81406,-47.06099,626.933,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:52.922775923,1780597012,922173581,obu,0,1,-22.81406,-47.06099,626.933,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:53.31083398,1780597013,30839926,obu,0,1,-22.81406,-47.06099,626.933,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:53.127088997,1780597013,126765397,obu,0,1,-22.81406,-47.06099,626.933,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:53.222830020,1780597013,222361525,obu,0,1,-22.81406,-47.06099,626.933,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:53.342407003,1780597013,342185429,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:53.421966406,1780597013,421707721,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
2026/06/04 15:16:53.524665105,1780597013,524182190,obu,0,1,-22.81406,-47.06099,626.923,31.809599999999996,0.0,0.0,0.0,31.809599999999996,0.0,0.0,0.0,508.95359999999994,1
