time,header_stamp_secs,header_stamp_nsecs,header_frame_id,orientation_x,orientation_y,orientation_z,orientation_w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity_x,angular_velocity_y,angular_velocity_z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
2026/06/04 15:16:52.95700330,1780597012,66049696,imu_link,-0.048706304281950004,0.07168221473693848,0.6402499675750732,0.7632622122764589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003062934149056673,-0.011675060726702215,0.010410697199404241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3177299499511719,0.614989161491394,9.579955101013185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:16:52.95836725,1780597012,77846302,imu_link,-0.048711374402046204,0.07168246805667877,0.6402538418769838,0.7632586359977723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033348803408443928,0.0028006739448755984,0.0039167702198028564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3192558288574219,0.5945242643356323,9.68322277069092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:16:52.95921345,1780597012,77866629,imu_link,-0.048712357878685,0.07168574631214142,0.6401966214179994,0.7633064389228822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011967122554779053,0.004006177186965942,0.008708984591066839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3867275714874268,0.5539198517799379,9.708955764770508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:16:52.95994180,1780597012,77879041,imu_link,-0.04872692003846169,0.07168083637952806,0.6402056813240052,0.7632983326911927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012247266247868538,0.004563481081277133,0.00866428017616272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4484002590179443,0.38077411055564886,9.726781845092773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:16:52.96073492,1780597012,77891221,imu_link,-0.048742689192295074,0.0716686174273491,0.6402085423469545,0.7632960677146913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016151370480656627,0.0006265938282012939,0.0015579166356474161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6252663135528564,0.22666142880916598,9.68194580078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:16:52.96133817,1780597012,77907422,imu_link,-0.048760067671537406,0.07166057825088501,0.6402096152305604,0.7632948160171509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014846029691398146,0.004015117883682251,-1.4901163922331763e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7292275428771973,0.08037013560533525,9.65443515777588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:16:52.96194269,1780597012,88576829,imu_link,-0.048756148666143424,0.07165286689996721,0.6401941776275635,0.7633086442947388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012761357240378858,-0.0049948696978390226,0.015289336442947388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7533044815063477,0.011989318765699865,9.672163009643555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:16:52.96254189,1780597012,88598034,imu_link,-0.048751600086688995,0.07164145261049272,0.6401982307434082,0.7633066773414613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003382563823834062,-0.009347496554255486,0.003290921682491899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7439730167388916,-0.062223237007856376,9.681193351745607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:16:52.96314317,1780597012,88610701,imu_link,-0.048753824084997184,0.07162977755069733,0.6401927471160889,0.7633122205734253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006815791595727206,-0.006103515625,-0.006775557994842529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6702126264572146,-0.04987901821732522,9.64248275756836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026/06/04 15:16:52.96374466,1780597012,88623963,imu_link,-0.04874912649393082,0.07161954045295715,0.6401966214179994,0.7633101940155029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00268369959667325,-0.008705259300768377,0.003253669012337923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5003740787506104,-0.011186243034899237,9.583982467651367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
