time,stamp_secs,stamp_nsecs,mode
2026/06/04 15:15:44.103823841,0,0,4
2026/06/04 15:15:44.103961520,0,0,4
2026/06/04 15:15:44.104113963,0,0,4
2026/06/04 15:15:44.104228113,0,0,4
2026/06/04 15:15:44.120626810,0,0,4
2026/06/04 15:15:44.140393308,0,0,4
2026/06/04 15:15:44.160754192,0,0,4
2026/06/04 15:15:44.180770447,0,0,4
2026/06/04 15:15:44.200776818,0,0,4
2026/06/04 15:15:44.220791212,0,0,4
2026/06/04 15:15:44.240555682,0,0,4
2026/06/04 15:15:44.260724379,0,0,4
2026/06/04 15:15:44.280413832,0,0,4
2026/06/04 15:15:44.300495791,0,0,4
2026/06/04 15:15:44.320471898,0,0,4
2026/06/04 15:15:44.340385047,0,0,4
2026/06/04 15:15:44.360978961,0,0,4
2026/06/04 15:15:44.380777050,0,0,4
2026/06/04 15:15:44.400596767,0,0,4
2026/06/04 15:15:44.420585937,0,0,4
2026/06/04 15:15:44.440424368,0,0,4
2026/06/04 15:15:44.460598341,0,0,4
2026/06/04 15:15:44.480664507,0,0,4
2026/06/04 15:15:44.501287932,0,0,4
2026/06/04 15:15:44.520801851,0,0,4
2026/06/04 15:15:44.540757170,0,0,4
2026/06/04 15:15:44.560526124,0,0,4
2026/06/04 15:15:44.580797042,0,0,4
2026/06/04 15:15:44.600549526,0,0,4
2026/06/04 15:15:44.620541052,0,0,4
2026/06/04 15:15:44.640621008,0,0,4
2026/06/04 15:15:44.661019679,0,0,4
2026/06/04 15:15:44.681117643,0,0,4
2026/06/04 15:15:44.700660401,0,0,4
2026/06/04 15:15:44.720566145,0,0,4
2026/06/04 15:15:44.740627725,0,0,4
2026/06/04 15:15:44.760597571,0,0,4
2026/06/04 15:15:44.780796955,0,0,4
2026/06/04 15:15:44.800735702,0,0,4
2026/06/04 15:15:44.820798470,0,0,4
2026/06/04 15:15:44.840791815,0,0,4
2026/06/04 15:15:44.860400869,0,0,4
2026/06/04 15:15:44.880420025,0,0,4
2026/06/04 15:15:44.900532801,0,0,4
2026/06/04 15:15:44.920777662,0,0,4
2026/06/04 15:15:44.940836842,0,0,4
2026/06/04 15:15:44.960757898,0,0,4
2026/06/04 15:15:44.980852808,0,0,4
2026/06/04 15:15:45.780032,0,0,4
2026/06/04 15:15:45.20619687,0,0,4
2026/06/04 15:15:45.40486108,0,0,4
2026/06/04 15:15:45.60815528,0,0,4
2026/06/04 15:15:45.80649007,0,0,4
2026/06/04 15:15:45.100649218,0,0,4
2026/06/04 15:15:45.120850166,0,0,4
2026/06/04 15:15:45.140563258,0,0,4
2026/06/04 15:15:45.160368138,0,0,4
2026/06/04 15:15:45.180654165,0,0,4
2026/06/04 15:15:45.200877675,0,0,4
2026/06/04 15:15:45.220676855,0,0,4
2026/06/04 15:15:45.240578665,0,0,4
2026/06/04 15:15:45.260712522,0,0,4
2026/06/04 15:15:45.280767977,0,0,4
2026/06/04 15:15:45.300753200,0,0,4
2026/06/04 15:15:45.320604109,0,0,4
2026/06/04 15:15:45.340568519,0,0,4
2026/06/04 15:15:45.360726036,0,0,4
2026/06/04 15:15:45.380952479,0,0,4
2026/06/04 15:15:45.400908407,0,0,4
2026/06/04 15:15:45.420633370,0,0,4
2026/06/04 15:15:45.440420703,0,0,4
2026/06/04 15:15:45.460570984,0,0,4
2026/06/04 15:15:45.480415595,0,0,4
2026/06/04 15:15:45.501202221,0,0,4
2026/06/04 15:15:45.520872153,0,0,4
2026/06/04 15:15:45.540826496,0,0,4
2026/06/04 15:15:45.560808757,0,0,4
2026/06/04 15:15:45.580615636,0,0,4
2026/06/04 15:15:45.600482790,0,0,4
2026/06/04 15:15:45.620558773,0,0,4
2026/06/04 15:15:45.640663145,0,0,4
2026/06/04 15:15:45.660871422,0,0,4
2026/06/04 15:15:45.680784271,0,0,4
2026/06/04 15:15:45.700669409,0,0,4
2026/06/04 15:15:45.720520941,0,0,4
2026/06/04 15:15:45.740398177,0,0,4
2026/06/04 15:15:45.760581871,0,0,4
2026/06/04 15:15:45.780690159,0,0,4
2026/06/04 15:15:45.800846219,0,0,4
2026/06/04 15:15:45.821131667,0,0,4
2026/06/04 15:15:45.840685919,0,0,4
2026/06/04 15:15:45.860678926,0,0,4
2026/06/04 15:15:45.880429297,0,0,4
2026/06/04 15:15:45.900513399,0,0,4
2026/06/04 15:15:45.920639856,0,0,4
2026/06/04 15:15:45.940708249,0,0,4
2026/06/04 15:15:45.960821064,0,0,4
2026/06/04 15:15:45.980874580,0,0,4
2026/06/04 15:15:46.733835,0,0,4
2026/06/04 15:15:46.20516975,0,0,4
2026/06/04 15:15:46.40566454,0,0,4
2026/06/04 15:15:46.60512911,0,0,4
2026/06/04 15:15:46.80900543,0,0,4
2026/06/04 15:15:46.101279268,0,0,4
2026/06/04 15:15:46.121254331,0,0,4
2026/06/04 15:15:46.140971437,0,0,4
2026/06/04 15:15:46.160754126,0,0,4
2026/06/04 15:15:46.180748328,0,0,4
2026/06/04 15:15:46.200570685,0,0,4
2026/06/04 15:15:46.220552054,0,0,4
2026/06/04 15:15:46.240557261,0,0,4
2026/06/04 15:15:46.261093094,0,0,4
2026/06/04 15:15:46.280943592,0,0,4
2026/06/04 15:15:46.300601091,0,0,4
2026/06/04 15:15:46.320365080,0,0,4
2026/06/04 15:15:46.340467684,0,0,4
2026/06/04 15:15:46.360692773,0,0,4
2026/06/04 15:15:46.380822310,0,0,4
2026/06/04 15:15:46.400839098,0,0,4
2026/06/04 15:15:46.420912158,0,0,4
2026/06/04 15:15:46.440798474,0,0,4
2026/06/04 15:15:46.460617673,0,0,4
2026/06/04 15:15:46.480509860,0,0,4
2026/06/04 15:15:46.500678778,0,0,4
2026/06/04 15:15:46.520915021,0,0,4
2026/06/04 15:15:46.540822973,0,0,4
2026/06/04 15:15:46.560739839,0,0,4
2026/06/04 15:15:46.580888057,0,0,4
2026/06/04 15:15:46.600546779,0,0,4
2026/06/04 15:15:46.620568991,0,0,4
2026/06/04 15:15:46.640363958,0,0,4
2026/06/04 15:15:46.661232668,0,0,4
2026/06/04 15:15:46.680751206,0,0,4
2026/06/04 15:15:46.700631411,0,0,4
2026/06/04 15:15:46.720808960,0,0,4
2026/06/04 15:15:46.740703141,0,0,4
2026/06/04 15:15:46.760518596,0,0,4
2026/06/04 15:15:46.780604842,0,0,4
2026/06/04 15:15:46.800818287,0,0,4
2026/06/04 15:15:46.821383237,0,0,4
2026/06/04 15:15:46.840661054,0,0,4
2026/06/04 15:15:46.860670137,0,0,4
2026/06/04 15:15:46.880690571,0,0,4
2026/06/04 15:15:46.900563458,0,0,4
2026/06/04 15:15:46.920615933,0,0,4
2026/06/04 15:15:46.940633092,0,0,4
2026/06/04 15:15:46.960820286,0,0,4
2026/06/04 15:15:46.981192970,0,0,4
2026/06/04 15:15:47.1032608,0,0,4
2026/06/04 15:15:47.21570454,0,0,4
2026/06/04 15:15:47.40466905,0,0,4
2026/06/04 15:15:47.60497901,0,0,4
2026/06/04 15:15:47.80666361,0,0,4
2026/06/04 15:15:47.100888564,0,0,4
2026/06/04 15:15:47.120694398,0,0,4
2026/06/04 15:15:47.140769979,0,0,4
2026/06/04 15:15:47.160667409,0,0,4
2026/06/04 15:15:47.180534949,0,0,4
2026/06/04 15:15:47.200420672,0,0,4
2026/06/04 15:15:47.220732935,0,0,4
2026/06/04 15:15:47.240558308,0,0,4
2026/06/04 15:15:47.260794998,0,0,4
2026/06/04 15:15:47.280806038,0,0,4
2026/06/04 15:15:47.300782719,0,0,4
2026/06/04 15:15:47.320456394,0,0,4
2026/06/04 15:15:47.340318894,0,0,4
2026/06/04 15:15:47.360589251,0,0,4
2026/06/04 15:15:47.380599215,0,0,4
2026/06/04 15:15:47.400800290,0,0,4
2026/06/04 15:15:47.421139641,0,0,4
2026/06/04 15:15:47.440844641,0,0,4
2026/06/04 15:15:47.460733038,0,0,4
2026/06/04 15:15:47.480557655,0,0,4
2026/06/04 15:15:47.500352533,0,0,4
2026/06/04 15:15:47.520668326,0,0,4
2026/06/04 15:15:47.540941886,0,0,4
2026/06/04 15:15:47.560882162,0,0,4
2026/06/04 15:15:47.581087098,0,0,4
2026/06/04 15:15:47.601152804,0,0,4
2026/06/04 15:15:47.620499477,0,0,4
2026/06/04 15:15:47.640418609,0,0,4
2026/06/04 15:15:47.660455153,0,0,4
2026/06/04 15:15:47.681177235,0,0,4
2026/06/04 15:15:47.700983033,0,0,4
