time,selftest,filter_valid,gnss_fix,no_rotation_update_status,representative_motion,clock_bias_estimation,clipflag_acc_x,clipflag_acc_y,clipflag_acc_z,clipflag_gyr_x,clipflag_gyr_y,clipflag_gyr_z,clipflag_mag_x,clipflag_mag_y,clipflag_mag_z,clipping_indication,syncin_marker,syncout_marker,filter_mode,have_gnss_time_pulse,rtk_status
2026/06/04 15:15:44.206784497,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.207361173,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.217689881,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.218313527,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.218852520,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.219411643,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.219920444,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.228244450,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.228623344,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.228957165,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.229322132,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.238973403,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.239291253,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.239664231,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.239966452,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.240295404,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.249961391,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.250683063,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.251225225,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.251890839,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.260734917,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.261138260,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.261497616,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.261853506,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.272352022,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.272623975,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.272887346,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.273108385,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.273351635,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.281976813,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.282223664,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.282436101,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.282649610,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.292716828,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.292918393,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.293172149,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.293388842,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.304520323,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.304750104,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.304974310,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.305147146,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.305399112,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.315342775,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.315552468,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.315778922,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.315999886,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.325166846,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.325572916,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.325950157,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.326440047,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.336918230,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.337218900,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.337514290,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.337819374,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.338129597,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.347688539,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.348134400,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.348529158,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.348912236,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.355367701,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.355784255,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.356087927,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.356428580,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.356881873,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.365303352,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.365951668,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.366631638,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.367452729,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.377004445,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.377545621,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.378150195,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.378727197,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.379217076,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.387902983,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.388403240,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.388979063,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.389594264,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.398292458,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.398666088,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.399057235,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
2026/06/04 15:15:44.399432210,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0
