time,header_stamp_secs,header_stamp_nsecs,header_frame_id,temperature,variance
2026/06/04 15:15:44.103862358,1780596944,79008253,imu_link,34.77734375,0.0
2026/06/04 15:15:44.104002941,1780596944,79026126,imu_link,34.77734375,0.0
2026/06/04 15:15:44.104150706,1780596944,89555030,imu_link,34.77734375,0.0
2026/06/04 15:15:44.104260026,1780596944,89588905,imu_link,34.78515625,0.0
2026/06/04 15:15:44.104341029,1780596944,89606660,imu_link,34.78515625,0.0
2026/06/04 15:15:44.104422668,1780596944,89623387,imu_link,34.78515625,0.0
2026/06/04 15:15:44.104505130,1780596944,99185135,imu_link,34.78515625,0.0
2026/06/04 15:15:44.104589058,1780596944,99208359,imu_link,34.77734375,0.0
2026/06/04 15:15:44.104667547,1780596944,99220771,imu_link,34.77734375,0.0
2026/06/04 15:15:44.104748035,1780596944,99242889,imu_link,34.77734375,0.0
2026/06/04 15:15:44.108183836,1780596944,107771395,imu_link,34.77734375,0.0
2026/06/04 15:15:44.108522705,1780596944,107782981,imu_link,34.77734375,0.0
2026/06/04 15:15:44.108797732,1780596944,107792893,imu_link,34.77734375,0.0
2026/06/04 15:15:44.119794779,1780596944,119522128,imu_link,34.77734375,0.0
2026/06/04 15:15:44.120191795,1780596944,119561308,imu_link,34.77734375,0.0
2026/06/04 15:15:44.120522805,1780596944,119584295,imu_link,34.78125,0.0
2026/06/04 15:15:44.120980395,1780596944,119604436,imu_link,34.78125,0.0
2026/06/04 15:15:44.121366253,1780596944,119624075,imu_link,34.78125,0.0
2026/06/04 15:15:44.130375954,1780596944,130195737,imu_link,34.78125,0.0
2026/06/04 15:15:44.130687580,1780596944,130230011,imu_link,34.78125,0.0
2026/06/04 15:15:44.130945795,1780596944,130247429,imu_link,34.78125,0.0
2026/06/04 15:15:44.131159605,1780596944,130262503,imu_link,34.78125,0.0
2026/06/04 15:15:44.139994413,1780596944,139791347,imu_link,34.78125,0.0
2026/06/04 15:15:44.140237937,1780596944,139816998,imu_link,34.78515625,0.0
2026/06/04 15:15:44.140453602,1780596944,139835135,imu_link,34.78515625,0.0
2026/06/04 15:15:44.140659439,1780596944,139850373,imu_link,34.78515625,0.0
2026/06/04 15:15:44.151837347,1780596944,151600068,imu_link,34.78515625,0.0
2026/06/04 15:15:44.152114149,1780596944,151624398,imu_link,34.77734375,0.0
2026/06/04 15:15:44.152300603,1780596944,151636283,imu_link,34.77734375,0.0
2026/06/04 15:15:44.152541280,1780596944,151647762,imu_link,34.77734375,0.0
2026/06/04 15:15:44.152747998,1780596944,151664296,imu_link,34.77734375,0.0
2026/06/04 15:15:44.162421165,1780596944,162265356,imu_link,34.78515625,0.0
2026/06/04 15:15:44.162650351,1780596944,162288017,imu_link,34.78515625,0.0
2026/06/04 15:15:44.162860091,1780596944,162301250,imu_link,34.78515625,0.0
2026/06/04 15:15:44.163091047,1780596944,162315703,imu_link,34.78515625,0.0
2026/06/04 15:15:44.173259380,1780596944,173076812,imu_link,34.78515625,0.0
2026/06/04 15:15:44.173568795,1780596944,173109313,imu_link,34.78515625,0.0
2026/06/04 15:15:44.173845948,1780596944,173127643,imu_link,34.78515625,0.0
2026/06/04 15:15:44.174138089,1780596944,173144824,imu_link,34.78515625,0.0
2026/06/04 15:15:44.184229064,1780596944,183833086,imu_link,34.78515625,0.0
2026/06/04 15:15:44.184887533,1780596944,183895245,imu_link,34.78515625,0.0
