time,stamp_secs,stamp_nsecs,level,name,msg,file,function,line
2026/06/04 15:16:10.624327858,1780596970,624187630,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSA,A,3,6,11,12,14,15,19,20,22,24,30,,,3.3,1.4,3.0*0F",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:10.624901162,1780596970,624706927,30,obu.nmea_navsat_driver,"Error with sentence: $GPGBS,181610.60,4.368,4.569,0.859,,,,*4B",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:10.735004088,1780596970,734697571,30,obu.nmea_navsat_driver,"Error with sentence: $GPZDA,181610.70,04,06,2026,00,00*6A",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:10.736282784,1780596970,736122490,20,obu.nmea_navsat_driver,"Received sentence: $GPGGA,181610.70,2248.9091,S,04703.6546,W,1,32,1.41,634.38,M,-4.165,M,,*73",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:16:10.737322104,1780596970,737222036,20,obu.nmea_navsat_driver,"Received sentence: $GPRMC,181610.70,A,2248.9091,S,04703.6546,W,19.6678,357.042,040626,-21.3,W*5A",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:16:10.737953026,1780596970,737852612,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSA,A,3,6,11,12,14,15,19,20,22,24,30,,,3.3,1.4,3.0*0F",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:10.738574242,1780596970,738435478,30,obu.nmea_navsat_driver,"Error with sentence: $GPGBS,181610.70,4.368,4.569,0.859,,,,*4A",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:10.832207306,1780596970,831869459,30,obu.nmea_navsat_driver,"Error with sentence: $GPZDA,181610.80,04,06,2026,00,00*65",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:10.834169620,1780596970,833896500,20,obu.nmea_navsat_driver,"Received sentence: $GPGGA,181610.80,2248.9085,S,04703.6547,W,1,32,1.41,634.40,M,-4.165,M,,*77",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:16:10.836133297,1780596970,835801519,20,obu.nmea_navsat_driver,"Received sentence: $GPRMC,181610.80,A,2248.9085,S,04703.6547,W,19.6756,356.482,040626,-21.3,W*55",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
