time,header_stamp_secs,header_stamp_nsecs,header_frame_id,quaternion_x,quaternion_y,quaternion_z,quaternion_w
2026/06/04 15:15:44.103839865,1780596944,79008253,imu_link,-0.03405267000198364,0.0569811686873436,0.654865324497223,0.7528247237205506
2026/06/04 15:15:44.103981441,1780596944,79026126,imu_link,-0.03404469043016434,0.056982744485139854,0.6548734903335571,0.7528178691864014
2026/06/04 15:15:44.104129162,1780596944,89555030,imu_link,-0.03403669595718384,0.05698144808411599,0.6548904180526733,0.7528035640716553
2026/06/04 15:15:44.104242784,1780596944,89588905,imu_link,-0.03403492271900177,0.05698297545313836,0.6548875570297241,0.7528060078620912
2026/06/04 15:15:44.104325112,1780596944,89606660,imu_link,-0.034033603966236115,0.05697618797421456,0.6548848748207093,0.7528088688850404
2026/06/04 15:15:44.104406026,1780596944,89623387,imu_link,-0.03403740748763085,0.056971792131662376,0.6548954844474794,0.7527998089790345
2026/06/04 15:15:44.104488466,1780596944,99185135,imu_link,-0.034046556800603874,0.05696934461593628,0.6549047231674194,0.7527915835380555
2026/06/04 15:15:44.104571615,1780596944,99208359,imu_link,-0.034067239612340934,0.05696389079093933,0.654904067516327,0.7527916431427002
2026/06/04 15:15:44.104650129,1780596944,99220771,imu_link,-0.03408882021903992,0.05695741251111031,0.6549074053764344,0.7527882456779481
2026/06/04 15:15:44.104730895,1780596944,99242889,imu_link,-0.034110542386770255,0.05695810914039612,0.654914379119873,0.7527812123298646
2026/06/04 15:15:44.108270579,1780596944,107771395,imu_link,-0.034122712910175323,0.05695823952555657,0.6549232602119447,0.7527728676795961
2026/06/04 15:15:44.108581932,1780596944,107782981,imu_link,-0.03411966562271118,0.056950174272060394,0.6549348831176758,0.7527635693550111
2026/06/04 15:15:44.108874553,1780596944,107792893,imu_link,-0.0341097079217434,0.05693531036376953,0.654936671257019,0.7527636289596558
2026/06/04 15:15:44.119869641,1780596944,119522128,imu_link,-0.03409552574157715,0.056918483227491386,0.6549344062805176,0.7527673840522767
