time,header_stamp_secs,header_stamp_nsecs,header_frame_id,temperature,variance
2026/06/04 15:16:52.95711357,1780597012,66049696,imu_link,34.8359375,0.0
2026/06/04 15:16:52.95846292,1780597012,77846302,imu_link,34.8359375,0.0
2026/06/04 15:16:52.95931577,1780597012,77866629,imu_link,34.8359375,0.0
2026/06/04 15:16:52.96003993,1780597012,77879041,imu_link,34.8359375,0.0
2026/06/04 15:16:52.96082537,1780597012,77891221,imu_link,34.828125,0.0
2026/06/04 15:16:52.96143881,1780597012,77907422,imu_link,34.828125,0.0
2026/06/04 15:16:52.96204239,1780597012,88576829,imu_link,34.828125,0.0
2026/06/04 15:16:52.96264063,1780597012,88598034,imu_link,34.828125,0.0
2026/06/04 15:16:52.96324522,1780597012,88610701,imu_link,34.8359375,0.0
2026/06/04 15:16:52.96384609,1780597012,88623963,imu_link,34.8359375,0.0
2026/06/04 15:16:52.98498727,1780597012,98293745,imu_link,34.8359375,0.0
2026/06/04 15:16:52.98726424,1780597012,98312818,imu_link,34.8359375,0.0
2026/06/04 15:16:52.98822699,1780597012,98320484,imu_link,34.828125,0.0
2026/06/04 15:16:52.98900970,1780597012,98327414,imu_link,34.828125,0.0
2026/06/04 15:16:52.110191105,1780597012,110073118,imu_link,34.828125,0.0
2026/06/04 15:16:52.110300483,1780597012,110088354,imu_link,34.828125,0.0
2026/06/04 15:16:52.110432201,1780597012,110095630,imu_link,34.82421875,0.0
2026/06/04 15:16:52.110539471,1780597012,110102183,imu_link,34.82421875,0.0
2026/06/04 15:16:52.110651156,1780597012,110108803,imu_link,34.82421875,0.0
2026/06/04 15:16:52.120785699,1780597012,120610085,imu_link,34.82421875,0.0
2026/06/04 15:16:52.120844901,1780597012,120623033,imu_link,34.82421875,0.0
2026/06/04 15:16:52.120958615,1780597012,120629961,imu_link,34.82421875,0.0
2026/06/04 15:16:52.121071338,1780597012,120636698,imu_link,34.82421875,0.0
2026/06/04 15:16:52.132652149,1780597012,132401857,imu_link,34.82421875,0.0
2026/06/04 15:16:52.132765871,1780597012,132416191,imu_link,34.8359375,0.0
2026/06/04 15:16:52.132892233,1780597012,132423374,imu_link,34.8359375,0.0
2026/06/04 15:16:52.133015487,1780597012,132430067,imu_link,34.8359375,0.0
2026/06/04 15:16:52.133127591,1780597012,132436624,imu_link,34.8359375,0.0
2026/06/04 15:16:52.143287671,1780597012,143113150,imu_link,34.828125,0.0
2026/06/04 15:16:52.143412710,1780597012,143126512,imu_link,34.828125,0.0
2026/06/04 15:16:52.143524927,1780597012,143133637,imu_link,34.828125,0.0
2026/06/04 15:16:52.143640758,1780597012,143140499,imu_link,34.828125,0.0
2026/06/04 15:16:52.154208571,1780597012,153821134,imu_link,34.828125,0.0
2026/06/04 15:16:52.154371435,1780597012,153840365,imu_link,34.828125,0.0
2026/06/04 15:16:52.154495620,1780597012,153852309,imu_link,34.828125,0.0
2026/06/04 15:16:52.154614579,1780597012,153863504,imu_link,34.828125,0.0
2026/06/04 15:16:52.164957296,1780597012,164565128,imu_link,34.828125,0.0
2026/06/04 15:16:52.165236855,1780597012,164602054,imu_link,34.828125,0.0
2026/06/04 15:16:52.165528050,1780597012,164625031,imu_link,34.828125,0.0
2026/06/04 15:16:52.165885748,1780597012,164647391,imu_link,34.828125,0.0
2026/06/04 15:16:52.176721404,1780597012,176375445,imu_link,34.828125,0.0
2026/06/04 15:16:52.176938690,1780597012,176413366,imu_link,34.828125,0.0
2026/06/04 15:16:52.177219790,1780597012,176433525,imu_link,34.828125,0.0
2026/06/04 15:16:52.177482283,1780597012,176451808,imu_link,34.828125,0.0
2026/06/04 15:16:52.177736285,1780597012,176471028,imu_link,34.828125,0.0
2026/06/04 15:16:52.186550203,1780597012,186210400,imu_link,34.828125,0.0
2026/06/04 15:16:52.186984218,1780597012,186270181,imu_link,34.828125,0.0
2026/06/04 15:16:52.187277195,1780597012,186301322,imu_link,34.828125,0.0
2026/06/04 15:16:52.187590707,1780597012,186333061,imu_link,34.828125,0.0
