time,stamp_secs,stamp_nsecs,level,name,msg,file,function,line
2026/06/04 15:16:52.99059399,1780597011,931485994,20,obu.nmea_navsat_driver,"Received sentence: $GPGGA,181651.90,2248.8436,S,04703.6594,W,1,32,1.41,631.11,M,-4.167,M,,*73",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:16:52.99082127,1780597011,932230528,20,obu.nmea_navsat_driver,"Received sentence: $GPRMC,181651.90,A,2248.8436,S,04703.6594,W,0.0058,356.232,040626,-21.3,W*68",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:16:52.99103787,1780597011,932803227,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSA,A,3,6,11,12,15,19,20,22,24,30,,,,3.3,1.4,3.0*0A",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:52.99125514,1780597011,933320060,30,obu.nmea_navsat_driver,"Error with sentence: $GPGBS,181651.90,4.590,4.505,0.734,,,,*4E",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:52.99147559,1780597012,22068940,30,obu.nmea_navsat_driver,"Error with sentence: $GPZDA,181652.00,04,06,2026,00,00*6B",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:52.99169873,1780597012,22922829,20,obu.nmea_navsat_driver,"Received sentence: $GPGGA,181652.00,2248.8436,S,04703.6594,W,1,32,1.41,631.11,M,-4.167,M,,*79",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:16:52.99191497,1780597012,23691430,20,obu.nmea_navsat_driver,"Received sentence: $GPRMC,181652.00,A,2248.8436,S,04703.6594,W,0.0058,356.232,040626,-21.3,W*62",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:16:52.99213195,1780597012,24288228,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSA,A,3,6,11,12,15,19,20,22,24,30,,,,3.3,1.4,3.0*0A",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:52.99234854,1780597012,24881274,30,obu.nmea_navsat_driver,"Error with sentence: $GPGBS,181652.00,4.590,4.505,0.734,,,,*44",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:52.110508044,1780597012,110385240,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:16:52.121457893,1780597012,121344669,30,obu.nmea_navsat_driver,"Error with sentence: $GPZDA,181652.10,04,06,2026,00,00*6A",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:52.122323236,1780597012,122257612,20,obu.nmea_navsat_driver,"Received sentence: $GPGGA,181652.10,2248.8436,S,04703.6594,W,1,32,1.41,631.11,M,-4.167,M,,*78",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:16:52.123144194,1780597012,123084482,20,obu.nmea_navsat_driver,"Received sentence: $GPRMC,181652.10,A,2248.8436,S,04703.6594,W,0.0058,356.232,040626,-21.3,W*63",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
