time,data
2026/06/04 15:15:44.103879685,0.0
2026/06/04 15:15:44.104020558,0.0
2026/06/04 15:15:44.110590651,0.0
2026/06/04 15:15:44.130580691,0.0
2026/06/04 15:15:44.150634613,0.0
2026/06/04 15:15:44.170507129,0.0
2026/06/04 15:15:44.190688618,0.0
2026/06/04 15:15:44.211014202,0.0
2026/06/04 15:15:44.230772118,0.0
2026/06/04 15:15:44.250966686,0.0
2026/06/04 15:15:44.270594176,0.0
2026/06/04 15:15:44.290493612,0.0
2026/06/04 15:15:44.310487736,0.0
2026/06/04 15:15:44.330710510,0.0
2026/06/04 15:15:44.350727731,0.0
2026/06/04 15:15:44.371221058,0.0
2026/06/04 15:15:44.390970683,0.0
2026/06/04 15:15:44.410619193,0.0
2026/06/04 15:15:44.430520085,0.0
2026/06/04 15:15:44.450721366,0.0
2026/06/04 15:15:44.470650081,0.0
2026/06/04 15:15:44.491162889,0.0
2026/06/04 15:15:44.511153450,0.0
2026/06/04 15:15:44.530748291,0.0
2026/06/04 15:15:44.550810036,0.0
2026/06/04 15:15:44.570441950,0.0
2026/06/04 15:15:44.590612383,0.0
2026/06/04 15:15:44.610776663,0.0
2026/06/04 15:15:44.630966143,0.0
2026/06/04 15:15:44.651067631,0.0
2026/06/04 15:15:44.671008694,0.0
2026/06/04 15:15:44.691255923,0.0
2026/06/04 15:15:44.710635169,0.0
2026/06/04 15:15:44.730456585,0.0
2026/06/04 15:15:44.750573582,0.0
2026/06/04 15:15:44.771126255,0.0
2026/06/04 15:15:44.790885306,0.0
2026/06/04 15:15:44.810901432,0.0
2026/06/04 15:15:44.830737208,0.0
2026/06/04 15:15:44.850604814,0.0
2026/06/04 15:15:44.870376331,0.0
2026/06/04 15:15:44.890685285,0.0
2026/06/04 15:15:44.910652248,0.0
2026/06/04 15:15:44.930737862,0.0
2026/06/04 15:15:44.951087060,0.0
2026/06/04 15:15:44.970986033,0.0
2026/06/04 15:15:44.990600682,0.0
2026/06/04 15:15:45.10547123,0.0
2026/06/04 15:15:45.30592153,0.0
2026/06/04 15:15:45.50468926,0.0
2026/06/04 15:15:45.70805532,0.0
2026/06/04 15:15:45.90822859,0.0
2026/06/04 15:15:45.110815323,0.0
2026/06/04 15:15:45.130737887,0.0
2026/06/04 15:15:45.150527290,0.0
2026/06/04 15:15:45.170393482,0.0
2026/06/04 15:15:45.190567797,0.0
2026/06/04 15:15:45.210717655,0.0
2026/06/04 15:15:45.230912766,0.0
2026/06/04 15:15:45.250906061,0.0
2026/06/04 15:15:45.270962739,0.0
2026/06/04 15:15:45.290738880,0.0
2026/06/04 15:15:45.310623856,0.0
2026/06/04 15:15:45.330517236,0.0
2026/06/04 15:15:45.350760643,0.0
2026/06/04 15:15:45.370851692,0.0
2026/06/04 15:15:45.390763800,0.0
2026/06/04 15:15:45.411087383,0.0
2026/06/04 15:15:45.430790497,0.0
2026/06/04 15:15:45.450641624,0.0
2026/06/04 15:15:45.470893059,0.0
2026/06/04 15:15:45.490760793,0.0
2026/06/04 15:15:45.511001786,0.0
2026/06/04 15:15:45.530533470,0.0
2026/06/04 15:15:45.551123800,0.0
2026/06/04 15:15:45.570744553,0.0
2026/06/04 15:15:45.590473773,0.0
2026/06/04 15:15:45.610463963,0.0
2026/06/04 15:15:45.630684500,0.0
2026/06/04 15:15:45.650936813,0.0
2026/06/04 15:15:45.670961749,0.0
2026/06/04 15:15:45.690874228,0.0
2026/06/04 15:15:45.711086039,0.0
2026/06/04 15:15:45.730476301,0.0
2026/06/04 15:15:45.750536603,0.0
2026/06/04 15:15:45.770556959,0.0
2026/06/04 15:15:45.790957517,0.0
2026/06/04 15:15:45.810801111,0.0
2026/06/04 15:15:45.830666924,0.0
2026/06/04 15:15:45.850741072,0.0
2026/06/04 15:15:45.870720382,0.0
2026/06/04 15:15:45.890554430,0.0
2026/06/04 15:15:45.910506152,0.0
2026/06/04 15:15:45.930930373,0.0
2026/06/04 15:15:45.950958339,0.0
2026/06/04 15:15:45.971088120,0.0
2026/06/04 15:15:45.991035716,0.0
2026/06/04 15:15:46.10700398,0.0
2026/06/04 15:15:46.30641797,0.0
2026/06/04 15:15:46.50675362,0.0
2026/06/04 15:15:46.70735020,0.0
2026/06/04 15:15:46.90963054,0.0
2026/06/04 15:15:46.111247610,0.0
